iter	MultiLogloss
0	0.6208700816
1	0.5652496901
2	0.5227425554
3	0.4901209154
4	0.4651954845
5	0.4461035258
6	0.4217897197
7	0.4034314797
8	0.3866170243
9	0.3763972124
10	0.3685170413
11	0.3624593248
12	0.3570713889
13	0.3544170755
14	0.3527771994
15	0.3491172499
16	0.3466402803
17	0.3441119709
18	0.3427737336
19	0.3407503774
20	0.3387765059
21	0.3371299587
22	0.3339216639
23	0.332676201
24	0.3295319429
25	0.3280058634
26	0.3271692058
27	0.3259599301
28	0.3253778445
29	0.3242867928
30	0.3230948421
31	0.3219014631
32	0.320157791
33	0.3191497901
34	0.3185412872
35	0.3172081337
36	0.3170111595
37	0.3167799211
38	0.3149974821
39	0.3139249262
40	0.3136484648
41	0.3123699465
42	0.3114888367
43	0.3111505678
44	0.3105530408
45	0.3094779274
46	0.3086008966
47	0.307669095
48	0.3073106938
49	0.3059142956
50	0.3053936964
51	0.3047281639
52	0.3030751223
53	0.3020838389
54	0.3018369193
55	0.3017397025
56	0.3007809569
57	0.300057296
58	0.2993097934
59	0.2985797034
60	0.2969193383
61	0.2959688344
62	0.2953118805
63	0.2936413979
64	0.2926939011
65	0.2926729504
66	0.2910742412
67	0.2896793465
68	0.2888587797
69	0.2870594268
70	0.2869859498
71	0.2858593901
72	0.285290767
73	0.2847316761
74	0.2843551026
75	0.2834428899
76	0.2832389428
77	0.2825942854
78	0.2815533649
79	0.2799672069
80	0.2784588239
81	0.2782593958
82	0.2776054164
83	0.2764129042
84	0.2755299149
85	0.2753443016
86	0.2746337621
87	0.2743285163
88	0.273514946
89	0.272884377
90	0.2719672491
91	0.2707943738
92	0.2705435332
93	0.2697683284
94	0.2697019299
95	0.2691034772
96	0.268762737
97	0.2669511166
98	0.2667498082
99	0.2663578401
100	0.2662108691
101	0.2653786752
102	0.265224778
103	0.2638669266
104	0.2632928112
105	0.2627209865
106	0.26142047
107	0.2609750067
108	0.2594911668
109	0.2586726272
110	0.2579297957
111	0.2576712631
112	0.2569396131
113	0.2557092281
114	0.255217506
115	0.2545823351
116	0.2541180691
117	0.2540232465
118	0.2531379267
119	0.2526860171
120	0.2523270901
121	0.2513362938
122	0.250543973
123	0.24965244
124	0.2492937315
125	0.2488486324
126	0.248624871
127	0.2480454638
128	0.2479773589
129	0.2473129072
130	0.2469549328
131	0.2456910718
132	0.2449524881
133	0.244730001
134	0.2444373717
135	0.2437788658
136	0.2428113108
137	0.2424267931
138	0.2423737438
139	0.2415694814
140	0.2406259783
141	0.2405085181
142	0.2399114175
143	0.2389112416
144	0.2382623116
145	0.2379288116
146	0.2373600215
147	0.2370079369
148	0.236376272
149	0.2362649076
150	0.2356241488
151	0.2347497702
152	0.2345495986
153	0.2339308992
154	0.2335933827
155	0.2329519828
156	0.2320906014
157	0.2313153923
158	0.2304235263
159	0.2296408656
160	0.2293160225
161	0.2282753471
162	0.2273268202
163	0.2266388952
164	0.2258241364
165	0.2255842048
166	0.2250428131
167	0.2245631744
168	0.2241286832
169	0.2240508758
170	0.2233029231
171	0.2225275165
172	0.2217876061
173	0.2210530791
174	0.2208467854
175	0.2203152803
176	0.2200096463
177	0.2196750998
178	0.2192005893
179	0.2188953463
180	0.218480791
181	0.2176897863
182	0.2173779795
183	0.2172640997
184	0.2167922293
185	0.2164813816
186	0.2162668112
187	0.2161540257
188	0.2153216572
189	0.2146665565
190	0.2142478236
191	0.2133074127
192	0.2128056064
193	0.2125387754
194	0.2119153343
195	0.211470342
196	0.2106740695
197	0.2103677132
198	0.209512825
199	0.2090543218
200	0.2084475504
201	0.208255625
202	0.2074779055
203	0.2072409454
204	0.2068246344
205	0.2059181047
206	0.204998662
207	0.2042554987
208	0.203957782
209	0.2039128636
210	0.2037253493
211	0.2032411525
212	0.2029199677
213	0.2028324755
214	0.2019434085
215	0.2018153707
216	0.2017206146
217	0.2016315539
218	0.2009864401
219	0.2006373448
220	0.1997542716
221	0.1994313347
222	0.1991515416
223	0.1990683333
224	0.1986048501
225	0.1982113673
226	0.1978433097
227	0.197710872
228	0.1975374628
229	0.1967983493
230	0.1961443562
231	0.1961090109
232	0.1958266422
233	0.1955693565
234	0.1950432067
235	0.1948334486
236	0.1942273194
237	0.1939894426
238	0.1938796997
239	0.1936539703
240	0.1933382505
241	0.1930352023
242	0.1924248807
243	0.1918864964
244	0.1918690602
245	0.1916638898
246	0.1916221707
247	0.191289075
248	0.1909590431
249	0.1909534508
250	0.1905415911
251	0.1902230435
252	0.1900237939
253	0.189795116
254	0.1887193619
255	0.1885212312
256	0.1881938939
257	0.1875340472
258	0.1869369382
259	0.1867360127
260	0.1859541869
261	0.1853002172
262	0.1849615002
263	0.1843180775
264	0.1841050285
265	0.1837294683
266	0.1836222846
267	0.1830946955
268	0.1823295521
269	0.1818245936
270	0.1811544457
271	0.1807048078
272	0.1804182772
273	0.180100136
274	0.1800753776
275	0.1795892444
276	0.1791084325
277	0.1785359325
278	0.178443065
279	0.1784146423
280	0.1780707961
281	0.1777200854
282	0.1772203828
283	0.1770010419
284	0.1766677546
285	0.176246761
286	0.1756925458
287	0.1750753228
288	0.1750717143
289	0.1745472236
290	0.174460328
291	0.1734914737
292	0.1732651764
293	0.1725774902
294	0.1722907088
295	0.1718516007
296	0.1717095119
297	0.1715027474
298	0.1714521455
299	0.1712001637
300	0.1709655012
301	0.170624227
302	0.1704415499
303	0.1700682786
304	0.1694007116
305	0.1686801317
306	0.1686146535
307	0.16828347
308	0.1680507174
309	0.1680179634
310	0.1679775946
311	0.1677096242
312	0.1670094978
313	0.1664030657
314	0.1663364728
315	0.165976678
316	0.1655776631
317	0.165350919
318	0.1651009652
319	0.1649076371
320	0.1646072368
321	0.1641959702
322	0.1640854661
323	0.1638429439
324	0.1637362677
325	0.163534784
326	0.1630424361
327	0.1629101624
328	0.1626791572
329	0.1623721121
330	0.1623083289
331	0.1619151011
332	0.1611781496
333	0.1608591624
334	0.1606140382
335	0.1603283732
336	0.1600648968
337	0.159350435
338	0.1590935579
339	0.1588506128
340	0.1581025156
341	0.1580620309
342	0.1576493503
343	0.1571731789
344	0.1567072649
345	0.1560972365
346	0.1556555776
347	0.1555780999
348	0.1554323467
349	0.1551558814
350	0.1549876619
351	0.154942793
352	0.1544177301
353	0.1542799464
354	0.1541866496
355	0.1540999867
356	0.1537296083
357	0.1531452689
358	0.153049959
359	0.1529189768
360	0.1522994698
361	0.1517031287
362	0.1515574439
363	0.1514799153
364	0.1509486365
365	0.1503914514
366	0.1498967419
367	0.1496173048
368	0.1494229251
369	0.1490847771
370	0.1490409119
371	0.1485166198
372	0.1482331615
373	0.1479246601
374	0.1475602472
375	0.1470731063
376	0.1469546281
377	0.14640511
378	0.146048731
379	0.1459206436
380	0.1451622202
381	0.1450487608
382	0.1450122281
383	0.1449473944
384	0.1449066729
385	0.1448885047
386	0.1444591962
387	0.1437985059
388	0.1434901094
389	0.1433840295
390	0.1432073388
391	0.1429409736
392	0.1429358922
393	0.1427638728
394	0.1426463797
395	0.1421286591
396	0.1415047793
397	0.1412932231
398	0.1409053875
399	0.1402459048
400	0.1398868064
401	0.1397902551
402	0.1392787386
403	0.1389512867
404	0.1387488287
405	0.1382984489
406	0.1379509946
407	0.1375837305
408	0.1373653669
409	0.1371465875
410	0.1369523891
411	0.136944305
412	0.1367852165
413	0.1365568002
414	0.1361912409
415	0.135981446
416	0.1357977812
417	0.1357608836
418	0.1355877562
419	0.1352714532
420	0.1351563437
421	0.1350524439
422	0.1347882978
423	0.1343195294
424	0.1338289492
425	0.1332097238
426	0.1326193926
427	0.1326028073
428	0.1324316033
429	0.1323519133
430	0.1320842316
431	0.1316679554
432	0.1312288871
433	0.1311510952
434	0.1309484472
435	0.1307167657
436	0.1306105695
437	0.1305799637
438	0.1302268692
439	0.1300217387
440	0.1298860491
441	0.1294106032
442	0.1293290484
443	0.128907585
444	0.1288377314
445	0.1286446399
446	0.1284249926
447	0.1282148734
448	0.1280516631
449	0.1277227324
450	0.1274822203
451	0.1270810122
452	0.126835283
453	0.1265971573
454	0.1264114259
455	0.1263585813
456	0.1259094066
457	0.1258787361
458	0.1252873894
459	0.1248576872
460	0.1246958636
461	0.1246314583
462	0.1243466527
463	0.124082406
464	0.1237288777
465	0.1233117521
466	0.1229310667
467	0.1228528772
468	0.1224342933
469	0.122125331
470	0.1220829039
471	0.1219425757
472	0.1218699512
473	0.1213789603
474	0.1209791071
475	0.1207731817
476	0.1205303062
477	0.120097088
478	0.1196172158
479	0.1192807548
480	0.119124539
481	0.1191018846
482	0.1188105646
483	0.1183924566
484	0.1181141329
485	0.117986391
486	0.117969756
487	0.1175898928
488	0.1174258592
489	0.1173637888
490	0.117244882
491	0.1171237136
492	0.1169722847
493	0.1168652574
494	0.1163291743
495	0.115971782
496	0.1159553943
497	0.1158987598
498	0.1154739732
499	0.11536162
500	0.1151837204
501	0.1150617171
502	0.1146242901
503	0.1144029368
504	0.114075081
505	0.1138832599
506	0.1137672648
507	0.1133315444
508	0.113137083
509	0.1130918359
510	0.112968094
511	0.1128542647
512	0.1125647336
513	0.1123756842
514	0.1122576067
515	0.1119520489
516	0.1113857136
517	0.1113058475
518	0.1109282926
519	0.1107024982
520	0.1104626022
521	0.1102313658
522	0.1100019166
523	0.1097714047
524	0.1095913371
525	0.1094351956
526	0.109161818
527	0.1089480734
528	0.1088234091
529	0.1086804923
530	0.1083388384
531	0.1081700393
532	0.1078869487
533	0.1078622712
534	0.1076804454
535	0.1074395661
536	0.1072163061
537	0.1070169922
538	0.106666201
539	0.1062397306
540	0.1059867949
541	0.1057933274
542	0.1055199461
543	0.105479069
544	0.1054520024
545	0.1052706339
546	0.1051535888
547	0.1049427938
548	0.1047405644
549	0.1045051476
550	0.1042021443
551	0.1040429052
552	0.1039842926
553	0.1038099241
554	0.1036672375
555	0.103448696
556	0.1031370219
557	0.1028870853
558	0.1026453908
559	0.1024137224
560	0.1023508928
561	0.1022692182
562	0.1022394915
563	0.1022301346
564	0.1019730894
565	0.1017656255
566	0.1017485866
567	0.1014699859
568	0.101390058
569	0.1012363423
570	0.1010431753
571	0.1009034092
572	0.1008809133
573	0.1006154532
574	0.1004473989
575	0.1002534889
576	0.09980775256
577	0.09973833087
578	0.09954203027
579	0.09927025482
580	0.09923590518
581	0.09896353986
582	0.09895076799
583	0.09878981932
584	0.0984768737
585	0.09846594126
586	0.09812379414
587	0.09795350513
588	0.09788049166
589	0.0976194697
590	0.09746685124
591	0.09716557942
592	0.0970416922
593	0.09697002757
594	0.09676505532
595	0.09670308455
596	0.09627201906
597	0.09597298365
598	0.09567597739
599	0.09558319498
600	0.09549189262
601	0.09525130727
602	0.09501064483
603	0.09487209533
604	0.09471716077
605	0.09463020613
606	0.09435573791
607	0.09418227261
608	0.09398566078
609	0.09376820621
610	0.09362591025
611	0.09344378359
612	0.09316403446
613	0.09294241479
614	0.09275934285
615	0.09264149606
616	0.09236847099
617	0.0921741407
618	0.09201418568
619	0.09194330749
620	0.09175284363
621	0.09169633749
622	0.09163376507
623	0.09151751042
624	0.09126823628
625	0.09078181936
626	0.09060964354
627	0.09041690486
628	0.0902552165
629	0.08996392583
630	0.08987348697
631	0.08971314926
632	0.08955840799
633	0.08936400818
634	0.08935510899
635	0.0893313036
636	0.08912030267
637	0.08886607622
638	0.0886182528
639	0.08858292002
640	0.08855833698
641	0.08847701874
642	0.08829268112
643	0.08815608801
644	0.08808635919
645	0.0879153617
646	0.08769715303
647	0.08755322172
648	0.08742253016
649	0.08700169387
650	0.08677417686
651	0.08661235084
652	0.08651718518
653	0.0863631712
654	0.08617902879
655	0.08616801153
656	0.08603535519
657	0.08585181801
658	0.08565035619
659	0.08559043271
660	0.08550350065
661	0.08525856443
662	0.08501557769
663	0.08473927132
664	0.08469267149
665	0.08458513085
666	0.0844309408
667	0.08437631054
668	0.08427537341
669	0.08425446436
670	0.08417916154
671	0.08388879828
672	0.08368277861
673	0.08356099131
674	0.08353999596
675	0.08344056301
676	0.08323274141
677	0.08312130782
678	0.08307064385
679	0.08296070708
680	0.08285537986
681	0.08276612461
682	0.08265446825
683	0.08252957396
684	0.08230618837
685	0.08211303046
686	0.08181271181
687	0.0817212177
688	0.08151491377
689	0.08133332302
690	0.08110909069
691	0.08091294621
692	0.08080726097
693	0.08079555363
694	0.08057588921
695	0.08052108971
696	0.08040755353
697	0.08029256439
698	0.08018158742
699	0.07995218337
700	0.07982582886
701	0.07968742431
702	0.07947705073
703	0.07945607686
704	0.07938847858
705	0.079271695
706	0.0791188244
707	0.07908433225
708	0.07885230669
709	0.07877357845
710	0.07870074333
711	0.07846515374
712	0.07836943203
713	0.07817647297
714	0.0780850859
715	0.07795948605
716	0.07780793178
717	0.07778747571
718	0.07763068946
719	0.07757209437
720	0.07751494599
721	0.0772949583
722	0.07719225121
723	0.07718719742
724	0.07705959256
725	0.07696608545
726	0.07675506814
727	0.07665715959
728	0.0765155139
729	0.07640683029
730	0.07635783544
731	0.07624378207
732	0.07615264683
